,Employee_Name,EmpID,Salary,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,EmploymentStatus,Department,ManagerName,PerformanceScore,Absences,Location,Partner,Amnt_Denied_Leave_Request,Remainding_Leave_Days,Carried_Over_Leave_Days,Cumulative_Leave_Days,Salary_LIABILITY,Leave_Liability
39,"Carr, Claudia  N",238904,39647,06/06/86,F,Single,6/30/2016,Active,Active,Customer Experince,Simon Roup,Fully Meets,7,Kakamega,Fine Media,2,9,3,12,152.48846153846154,1829.8615384615384
40,"Carter, Michelle ",232290,51551,05/15/63,F,Single,8/18/2014,Active,Active,Sales,John Smith,Fully Meets,7,Vihiga,Fine Media,3,9,2,11,198.27307692307693,2181.003846153846
41,"Chace, Beatrice ",237162,149886,01/02/51,F,Single,9/29/2014,Active,Active,Sales and Distribution       ,Michael Albert,Fully Meets,11,Kirinyaga,Fine Media,4,7,7,14,576.4846153846154,8070.784615384615
42,"Champaigne, Brian",234262,131594,02/09/72,M ,Married,9/6/2016,Active,Active,Customer Experince,Jennifer Zamora,Fully Meets,8,Diani,Sheer Logic,3,10,5,15,506.1307692307692,7591.961538461538
43,"Chan, Lin",234805,98755,02/12/79,F,Single,5/12/2014,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,11,Kibra,Fine Media,4,8,6,14,379.8269230769231,5317.576923076924
44,"Chang, Donovan  E",236282,83309,08/24/83,M ,Single,7/8/2013,Active,Active,Sales and Distribution       ,Webster Butler,Fully Meets,4,Karen,Fine Media,4,20,5,25,320.41923076923075,8010.480769230769
45,"Chigurh, Anton",234927,52143,06/11/70,M ,Single,5/14/2012,Active,Active,Sales,Lynn Daneault,Fully Meets,17,Kirinyaga,Sheer Logic,4,11,2,13,200.55,2607.15
46,"Chivukula, Enola",233700,44744,08/27/83,F,Single,6/27/2011,11/15/2015,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,3,Donholm,Fine Media,1,6,3,9,172.09230769230768,1548.8307692307692
47,"Cierpiszewski, Caroline  ",236603,59778,05/31/88,F,Single,10/3/2011,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,3,Busia,Fine Media,1,7,4,11,229.91538461538462,2529.0692307692307
48,"Clayton, Rick",236726,35907,09/05/85,M ,Single,9/5/2012,Active,Active,Customer Experince,Eric Dougall,Fully Meets,2,Malindi,Sheer Logic,1,11,3,14,138.10384615384615,1933.4538461538461
49,"Cloninger, Jennifer",231367,110484,08/31/81,F,Married,5/16/2011,1/7/2013,Voluntarily Terminated,Sales and Distribution       ,Brannon Miller,Fully Meets,9,Karen,Fine Media,1,14,4,18,424.9384615384615,7648.892307692307
50,"Close, Phil",233638,84486,11/25/78,M ,Married,8/30/2010,9/26/2011,Voluntarily Terminated,Sales and Distribution       ,David Stanley,Fully Meets,6,Murang’a,Fine Media,2,11,4,15,324.94615384615383,4874.192307692308
51,"Clukey, Elijian",236554,43985,08/26/80,M ,Married,7/6/2016,Active,Active,Sales and Distribution       ,Brannon Miller,Exceeds,5,Kirinyaga,Sheer Logic,2,14,7,21,169.17307692307693,3552.6346153846157
52,"Cockel, James",234590,120635,09/08/77,M ,Single,7/8/2013,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,3,Embakasi,Fine Media,2,7,4,11,463.9807692307692,5103.788461538462
53,"Cole, Spencer",239289,87034,08/12/79,M ,Single,7/11/2011,9/23/2016,Terminated for Cause,Sales and Distribution       ,Kissy Sullivan,Needs Improvement,16,Diani,Sheer Logic,1,12,5,17,334.74615384615385,5690.684615384615
54,"Corleone, Michael",236688,147883,12/17/75,M ,Divorced,7/20/2010,Active,Active,Sales and Distribution       ,Janet King,Needs Improvement,3,Vihiga,Fine Media,3,19,7,26,568.7807692307692,14788.3
55,"Corleone, Vito",238335,108601,03/19/83,M ,Single,1/5/2009,Active,Active,Sales and Distribution       ,Janet King,Exceeds,15,Thika,Sheer Logic,4,9,4,13,417.69615384615383,5430.05
56,"Cornett, Lisa ",235723,115986,03/31/77,F,Married,1/5/2015,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,6,Kericho,Sheer Logic,2,9,7,16,446.1,7137.6
57,"Costello, Frank",239662,93206,08/26/86,M ,Married,3/30/2015,Active,Active,Customer Experince,Simon Roup,Fully Meets,2,Diani,Sheer Logic,3,14,6,20,358.4846153846154,7169.692307692308
58,"Crimmings,   Jean",235308,72671,04/10/87,F,Single,7/6/2016,Active,Active,Sales and Distribution       ,Michael Albert,Fully Meets,15,Donholm,Fine Media,2,18,2,20,279.50384615384615,5590.076923076923
59,"Cross, Noah",239971,143366,09/09/65,M ,Single,11/10/2014,Active,Active,Customer Experince,Peter Monroe,Fully Meets,5,Mumias,Sheer Logic,4,11,3,14,551.4076923076923,7719.707692307692
60,"Daneault, Lynn",234951,89907,04/19/90,F,Single,5/5/2014,Active,Active,Sales,Debra Houlihan,Fully Meets,8,Naivasha,Fine Media,2,20,4,24,345.79615384615386,8299.107692307693
61,"Daniele, Ann  ",235876,66734,01/18/52,F,Married,11/10/2014,Active,Active,Customer Experince,Peter Monroe,Fully Meets,19,Donholm,Sheer Logic,4,16,5,21,256.66923076923075,5390.053846153845
62,"Darson, Jene'ya ",237119,49443,11/05/78,F,Married,7/2/2012,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,1,Kericho,Fine Media,2,9,7,16,190.16538461538462,3042.646153846154
63,"Davis, Daniel",235897,89793,09/14/79,M ,Single,11/7/2011,Active,Active,Sales and Distribution       ,Kissy Sullivan,Fully Meets,6,Lamu,Sheer Logic,1,6,2,8,345.35769230769233,2762.8615384615387
64,"Dee, Randy",238316,106237,04/15/88,M ,Married,7/9/2018,Active,Active,Sales and Distribution       ,Brannon Miller,Fully Meets,2,Embakasi,Fine Media,2,15,4,19,408.6038461538462,7763.473076923077
65,"DeGweck,  James",234210,118296,10/31/77,M ,Married,5/16/2011,6/8/2016,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Fully Meets,14,Nyeri,Fine Media,2,15,4,19,454.9846153846154,8644.707692307693
66,"Del Bosque, Keyla",233318,77265,07/05/79,F,Single,1/9/2012,Active,Active,Human Resource,Alex Sweetwater,Fully Meets,8,Bungoma,Sheer Logic,2,19,6,25,297.1730769230769,7429.326923076923
67,"Delarge, Alex",234624,86447,11/02/75,M ,Single,9/29/2014,Active,Active,Sales,John Smith,PIP,5,Lang’ata,Fine Media,3,12,7,19,332.48846153846154,6317.280769230769
68,"Demita, Carla",239517,101739,02/25/51,F,Separated,4/4/2011,11/4/2015,Voluntarily Terminated,Sales and Distribution       ,Kelley Spirea,Fully Meets,1,Umoja,Sheer Logic,1,10,4,14,391.30384615384617,5478.253846153846
69,"Desimone, Carl ",235610,58960,04/19/67,M ,Married,7/7/2014,Active,Active,Sales and Distribution       ,Amy Dunn,PIP,9,Mumias,Sheer Logic,3,12,6,18,226.76923076923077,4081.846153846154
70,"DeVito, Tommy",232708,110624,09/04/83,M ,Single,2/15/2017,Active,Active,Customer Experince,Brian Champaigne,Fully Meets,15,Embakasi,Sheer Logic,4,14,2,16,425.4769230769231,6807.630769230769
71,"Dickinson, Geoff ",239151,143679,11/15/82,M ,Single,5/12/2014,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,1,Kibra,Sheer Logic,3,19,2,21,552.6115384615384,11604.842307692306
72,"Dietrich, Jenna  ",237678,60039,05/14/87,F,Single,2/20/2012,Active,Active,Sales,John Smith,PIP,17,Westlands,Fine Media,2,19,3,22,230.91923076923078,5080.223076923077
73,"DiNocco, Lily ",236026,36890,12/02/78,F,Married,1/7/2013,Active,Active,Sales and Distribution       ,Brannon Miller,Needs Improvement,6,Mumias,Sheer Logic,4,16,7,23,141.8846153846154,3263.346153846154
74,"Dobrin, Denisa  S",232666,68458,10/07/86,F,Single,4/2/2012,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,15,Diani,Sheer Logic,1,15,3,18,263.3,4739.400000000001
75,"Dolan, Linda",233813,67400,07/18/88,F,Married,1/5/2015,Active,Active,Customer Experince,Peter Monroe,Fully Meets,16,Lang’ata,Sheer Logic,1,19,7,26,259.2307692307692,6740.0
76,"Dougall, Eric",232769,68307,07/09/70,M ,Single,1/5/2014,Active,Active,Customer Experince,Jennifer Zamora,Exceeds,4,Busia,Fine Media,2,12,2,14,262.71923076923076,3678.0692307692307
77,"Driver, Elle",238840,31490,11/08/88,F,Single,1/10/2011,Active,Active,Sales,Lynn Daneault,Exceeds,14,Umoja,Sheer Logic,2,16,4,20,121.11538461538461,2422.3076923076924
78,"Dunn, Amy  ",233470,78037,11/28/73,F,Single,9/18/2014,Active,Active,Sales and Distribution       ,Janet King,Fully Meets,4,Lamu,Sheer Logic,2,19,3,22,300.14230769230767,6603.130769230769
79,"Dunne, Amy",235933,67921,09/23/73,F,Married,4/26/2010,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,6,Lang’ata,Fine Media,4,11,2,13,261.2346153846154,3396.05
80,"Eaton, Marianne",235251,89816,09/05/91,F,Married,4/4/2011,6/6/2017,Voluntarily Terminated,Sales and Distribution       ,Kissy Sullivan,Fully Meets,7,Kericho,Fine Media,1,16,7,23,345.44615384615383,7945.261538461538
81,"Engdahl, Jean",236654,145477,05/31/74,M ,Single,11/10/2014,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,8,Murang’a,Sheer Logic,1,20,5,25,559.526923076923,13988.173076923076
82,"England, Rex",237807,69873,08/25/78,M ,Married,3/31/2014,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,3,Kilifi,Sheer Logic,3,19,2,21,268.7423076923077,5643.588461538461
83,"Erilus, Angela",235217,141067,08/25/89,F,Separated,7/7/2014,Active,Active,Sales and Distribution       ,Michael Albert,PIP,5,Mombasa,Fine Media,2,20,6,26,542.5653846153846,14106.699999999999
84,"Estremera, Miguel",231059,76635,09/02/83,M ,Single,4/2/2012,9/27/2018,Terminated for Cause,Sales and Distribution       ,Michael Albert,Needs Improvement,16,Lang’ata,Fine Media,2,18,5,23,294.75,6779.25
85,"Evensen, April",231575,133085,05/06/89,F,Single,2/17/2014,2/25/2018,Terminated for Cause,Sales and Distribution       ,Elijiah Gray,Needs Improvement,19,Malindi,Fine Media,1,8,6,14,511.86538461538464,7166.115384615385
86,"Exantus, Susan",239743,112303,05/15/87,F,Married,5/2/2011,6/5/2013,Terminated for Cause,Human Resource,Alex Sweetwater,Needs Improvement,19,Kariobangi,Fine Media,1,8,2,10,431.93461538461537,4319.346153846153
87,"Faller, Megan ",233137,113890,09/22/78,F,Married,7/7/2014,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,17,Westlands,Fine Media,1,19,3,22,438.03846153846155,9636.846153846154
88,"Fancett, Nicole",234148,147977,09/27/87,F,Single,2/17/2014,Active,Active,Sales and Distribution       ,Webster Butler,Fully Meets,7,Eldoret,Sheer Logic,4,18,4,22,569.1423076923077,12521.13076923077
89,"Ferguson, Susan",236399,120624,04/14/55,F,Married,11/7/2011,5/17/2016,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Fully Meets,16,Malindi,Fine Media,1,13,7,20,463.9384615384615,9278.76923076923
90,"Fernandes, Nilson  ",239450,141703,10/18/89,M ,Married,5/11/2015,Active,Active,Sales and Distribution       ,Amy Dunn,PIP,15,Embakasi,Fine Media,4,9,4,13,545.0115384615384,7085.15
91,"Fett, Boba",236420,146114,06/18/87,M ,Single,3/30/2015,Active,Active,Customer Experince,Peter Monroe,PIP,2,Kiambu,Fine Media,1,14,4,18,561.9769230769231,10115.584615384616
92,"Fidelia,  Libby",237576,137287,03/16/81,F,Married,1/9/2012,Active,Active,Sales and Distribution       ,Brannon Miller,Fully Meets,19,Bungoma,Sheer Logic,1,15,3,18,528.026923076923,9504.484615384614
93,"Fitzpatrick, Michael  J",237323,82272,10/01/81,M ,Single,5/16/2011,6/24/2013,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,20,Eldoret,Fine Media,2,10,5,15,316.4307692307692,4746.461538461538
94,"Foreman, Tanya",236144,149103,11/08/83,F,Married,4/4/2011,1/9/2013,Voluntarily Terminated,Sales and Distribution       ,Ketsia Liebig,Fully Meets,6,Kakamega,Sheer Logic,3,12,5,17,573.473076923077,9749.042307692309
95,"Forrest, Alex",234903,130252,07/07/75,M ,Married,9/29/2014,8/19/2018,Terminated for Cause,Sales,Lynn Daneault,PIP,7,Lamu,Fine Media,1,13,3,16,500.96923076923076,8015.507692307692
96,"Foss, Jason",231274,72795,07/05/80,M ,Single,4/15/2011,Active,Active,Customer Experince,Jennifer Zamora,Exceeds,15,Nyeri,Fine Media,4,14,2,16,279.9807692307692,4479.692307692308
97,"Foster-Baker, Amy",237194,58214,04/16/79,F,Married,1/5/2009,Active,Active,Admin Offices,Board of Directors,Fully Meets,3,Kilifi,Sheer Logic,3,8,2,10,223.9,2239.0
98,"Fraval, Maruk ",235612,119833,08/28/63,M ,Single,9/6/2011,Active,Active,Sales,Lynn Daneault,Fully Meets,7,Eastleigh,Fine Media,4,16,5,21,460.8961538461538,9678.81923076923
99,"Galia, Lisa",235272,65060,07/06/68,F,Single,5/1/2010,Active,Active,Customer Experince,Eric Dougall,Fully Meets,1,South C,Fine Media,3,15,4,19,250.23076923076923,4754.384615384615
100,"Garcia, Raul",239661,138483,09/15/85,M ,Single,3/30/2015,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,5,Embakasi,Sheer Logic,1,17,3,20,532.626923076923,10652.538461538461
101,"Gaul, Barbara",237861,129771,12/02/83,F,Single,5/16/2011,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,12,Embakasi,Fine Media,4,11,4,15,499.1192307692308,7486.788461538462
102,"Gentry, Mildred",237211,34277,10/01/90,F,Married,3/30/2015,Active,Active,Sales and Distribution       ,Michael Albert,Fully Meets,19,Karen,Fine Media,1,15,6,21,131.83461538461538,2768.5269230769227
103,"Gerke, Melisa",236359,104864,05/15/70,F,Divorced,11/7/2011,11/15/2016,Voluntarily Terminated,Sales and Distribution       ,Elijiah Gray,Fully Meets,2,Kibra,Sheer Logic,2,18,2,20,403.32307692307694,8066.461538461539
104,"Gill, Whitney  ",235803,115344,07/10/71,F,Widowed,7/7/2014,9/5/2015,Terminated for Cause,Sales,John Smith,Fully Meets,7,Vihiga,Fine Media,1,15,6,21,443.6307692307692,9316.246153846154
105,"Gilles, Alex",238810,114609,08/09/74,M ,Married,4/2/2012,6/25/2015,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Needs Improvement,15,Embakasi,Sheer Logic,3,12,5,17,440.80384615384617,7493.665384615385
106,"Girifalco, Evelyn",234446,85593,05/08/80,F,Single,9/29/2014,Active,Active,Sales and Distribution       ,Amy Dunn,Exceeds,3,Bungoma,Fine Media,1,17,3,20,329.20384615384614,6584.076923076923
107,"Givens, Myriam",237775,34210,09/22/89,F,Single,2/16/2015,Active,Active,Sales,Lynn Daneault,Fully Meets,20,Naivasha,Sheer Logic,4,7,3,10,131.57692307692307,1315.7692307692307
108,"Goble, Taisha",235845,50961,10/23/71,F,Single,2/16/2015,3/15/2015,Terminated for Cause,Customer Experince,Simon Roup,Fully Meets,10,Kirinyaga,Fine Media,3,13,5,18,196.00384615384615,3528.0692307692307
109,"Goeth, Amon",236383,121710,11/24/89,M ,Married,3/30/2015,Active,Active,Customer Experince,Peter Monroe,Fully Meets,20,Malindi,Fine Media,1,18,2,20,468.11538461538464,9362.307692307693
110,"Gold, Shenice  ",239240,35496,06/18/92,F,Single,11/11/2013,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,7,Karen,Sheer Logic,1,17,3,20,136.52307692307693,2730.4615384615386
111,"Gonzalez, Cayo",238334,87964,09/29/69,M ,Divorced,7/11/2011,Active,Active,Sales and Distribution       ,Brannon Miller,Exceeds,1,Malindi,Sheer Logic,1,15,2,17,338.32307692307694,5751.492307692308
112,"Gonzalez, Juan",239134,107579,10/12/64,M ,Married,4/26/2010,5/30/2011,Voluntarily Terminated,Sales and Distribution       ,Brannon Miller,PIP,10,Umoja,Fine Media,4,14,5,19,413.7653846153846,7861.542307692308
113,"Gonzalez, Maria",234515,103121,04/16/81,F,Separated,1/5/2015,Active,Active,Customer Experince,Peter Monroe,Fully Meets,11,Umoja,Fine Media,3,15,5,20,396.6192307692308,7932.384615384616
114,"Good, Susan",232631,34216,05/25/86,F,Married,5/12/2014,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,20,Kibra,Sheer Logic,1,16,4,20,131.6,2632.0
115,"Gordon, David",236499,67280,05/21/79,M ,Married,7/2/2012,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,2,Malindi,Fine Media,2,20,5,25,258.7692307692308,6469.2307692307695
116,"Gosciminski, Phylicia  ",236751,51026,12/08/83,F,Separated,9/30/2013,Active,Active,Sales and Distribution       ,Kissy Sullivan,Fully Meets,1,Donholm,Sheer Logic,4,9,4,13,196.25384615384615,2551.3
117,"Goyal, Roxana",237639,100939,10/09/74,F,Married,8/19/2013,Active,Active,Sales and Distribution       ,Kissy Sullivan,Fully Meets,3,Nyeri,Sheer Logic,4,15,7,22,388.2269230769231,8540.992307692308
118,"Gray, Elijiah  ",234493,80691,07/11/81,M ,Divorced,6/2/2015,Active,Active,Sales and Distribution       ,Janet King,Fully Meets,2,Westlands,Sheer Logic,4,18,4,22,310.35,6827.700000000001
119,"Gross, Paula",233834,60534,05/21/83,F,Divorced,2/21/2011,1/11/2014,Voluntarily Terminated,Sales and Distribution       ,Kelley Spirea,Fully Meets,17,Kilifi,Sheer Logic,3,15,7,22,232.8230769230769,5122.107692307692
120,"Gruber, Hans",237528,74951,06/30/89,M ,Married,4/20/2017,Active,Active,Customer Experince,Brian Champaigne,Fully Meets,8,Umoja,Sheer Logic,1,20,4,24,288.2730769230769,6918.553846153846
121,"Guilianno, Mike",236349,130498,02/09/69,M ,Single,3/7/2012,10/31/2014,Voluntarily Terminated,Sales,John Smith,Fully Meets,20,Lamu,Sheer Logic,3,6,4,10,501.9153846153846,5019.153846153846
122,"Handschiegl, Joanne",232174,42556,03/23/77,F,Married,11/28/2011,Active,Active,Sales and Distribution       ,Michael Albert,Fully Meets,13,Kakamega,Fine Media,2,9,3,12,163.6769230769231,1964.123076923077
123,"Hankard, Earnest",238227,93743,08/10/88,M ,Single,11/11/2013,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,20,Nakuru,Sheer Logic,1,14,5,19,360.55,6850.45
124,"Harrington, Christie ",231941,73101,08/18/52,F,Single,1/9/2012,12/15/2015,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Fully Meets,8,Kilifi,Sheer Logic,1,15,4,19,281.1576923076923,5341.996153846154
